PARTNAME,PDES,TQUANT,TUNITNAME,PRICE,VPRICE,PURCHASEPRICE,ICODE,DUEDATE,CLOSEDBOOL,TBALANCE,PACKBALANCE,TAXSUM,PACKED,PACKPACKED,PERCENT,DISPRICE,QPRICE,VATPRICE,QPROFIT,QPROFITPERCENT,PRICEBAL,CODE,PRSOURCENAME,PURSOURCENAME,NUMPACK,PACKCODE,MODELNAME,PLANHOURSD,PLANHOURSSUM,REVNAME,VATFLAGA,COMMISSION,COMMISSION2,BARCODE,SERIALNAME,CUSTPARTNAME,CUSTPARTBARCODE,YOURORDLINE,QUANT,ABALANCE,PBALANCE,UNITNAME,UNSPSCCODE,UNSPSCDES,CLUSTNAME,MRP,ATP,PDATE,PRDATE,CASHFLOWDATE,DCODE,CODEDES,BUDCODE,COSTCNAME,EXCH,PBONUSFLAG,ORDISTATUSDES,COPYFAVSUPFLAG,SUPNAME,OBFLAG,PREPAYED,PAYCUSTNAME,PARTTREEFLAG,PURTAXPERCENT,PAYCUSTDES,LCODE,LEXCH,PROJCOSTFLAG,MPARTNAME,MPARTDES,MMPARTNAME,REMARK1,REMARK2,KITNUM,QRANKCODE,QRANKDES,DCMONTHS,MINEXPDAYS,WARHSREMARK,DEALNAME,DLINE,CHARGEPULSES,DS,RRMETHODNAME,RRMETHODDES,RRTIMINGNAME,RRTIMINGDES,FROMDATE,TODATE,AFLAG,SOF_EXTFILENAME,Y_4060_5_ESH,ORDI,KLINE,ORDNAME
11001301,דמוי עור רוגל מס' 301 חום,2.0,מטר,60.0,70.2,14.32,"ש""ח",2024-05-22T00:00:00Z,,2.0,0,0.0,0,0,0.0,60.0,120.0,140.4,91.36,318.99,120.0,"ש""ח",מחיר מיוחד ללקוח,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,11001301,,,,0,2.0,2.0,2.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,11001301,,,0,,,0,0,,,0,,,,,,,,,,,ROGEL NO. 301 MARRONE,5155,1,1003675
11005133,דמוי עור דקאר מס' 133 מרונה,1.0,מטר,60.0,70.2,0.0,"ש""ח",2024-05-22T00:00:00Z,,1.0,0,0.0,0,0,0.0,60.0,60.0,70.2,60.0,0.0,60.0,"ש""ח",מחיר מיוחד ללקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,11005133,,,,0,1.0,1.0,1.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,11005133,,,0,,,0,0,,,0,,,,,,,,,,,DAKAR 133 MARRONE,5156,2,1003675
11009005,דמוי עור חוץ/ פנים טריו 05 ירוק לבן,5.5,מטר,79.0,92.43,26.93,"ש""ח",2024-05-22T00:00:00Z,,5.5,0,0.0,0,0,0.0,79.0,434.5,508.37,286.39,193.36,434.5,"ש""ח",מחירון לקוח,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,11009005,,,,0,5.5,5.5,5.5,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,11009005,,,0,,,0,0,,,0,,,,,,,,,,,TRIO E.YESIL NO 05,5154,1,1003674
11001300,דמוי עור רוגל מס' 300 קויו,2.5,מטר,69.0,80.73,14.32,"ש""ח",2024-05-22T00:00:00Z,,2.5,0,0.0,0,0,0.0,69.0,172.5,201.83,136.7,381.84,172.5,"ש""ח",מחירון לקוח,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,11001300,,,,0,2.5,2.5,2.5,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,11001300,,,0,,,0,0,,,0,,,,,,,,,,,ROGEL NO. 300 CUOIO,5153,1,1003673
10000000,עור- וינטאג שחור,1.0,SQF,16.0,18.72,9.37,"ש""ח",2024-05-22T00:00:00Z,Y,-49.75,0,0.0,0,0,0.0,16.0,16.0,18.72,6.63,70.76,-796.0,"ש""ח",ידני,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,10000000,,,,0,1.0,-49.75,1.0,SQF,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,10000000,,,0,,,0,0,,,0,,,,,,,,,,,LEATHERS,5152,1,1003672
20009903,בד סוהו מס' 903 אבן,5.1,מטר,62.82,73.5,12.52,"ש""ח",2024-05-22T00:00:00Z,,5.1,0,0.0,0,0,0.0,62.82,320.38,374.84,256.53,401.76,320.38,"ש""ח",מחיר מיוחד ללקוח,מחיר קניה אחרון,0,,,0.0,0.0,,Y,0.0,0.0,20009903,,,,0,5.1,5.1,5.1,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20009903,,,0,,,0,0,,,0,,,,,,,,,,,SOHO NO 903 STONE,5151,1,1003671
20005504,בד ג'אנובה מס' 504 פיסטוק,3.5,מטר,64.32,75.25,0.0,"ש""ח",2024-05-22T00:00:00Z,,3.5,0,0.0,0,0,0.0,64.32,225.12,263.39,225.12,0.0,225.12,"ש""ח",מחיר מיוחד ללקוח,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,20005504,,,,0,3.5,3.5,3.5,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,20005504,,,0,,,0,0,,,0,,,,,,,,,,,GENOVA NO 504 Pistachio,5150,1,1003670
300195476,סוליד אנד סטריפס מס' 5476137 HEATHER BEIGE,11.0,מטר,110.0,128.7,0.0,"ש""ח",2024-05-22T00:00:00Z,Y,0.0,0,0.0,0,0,0.0,110.0,1210.0,1415.7,1210.0,0.0,0.0,"ש""ח",ידני,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,300195476,,,,0,11.0,0.0,11.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,300195476,,,0,,,0,0,,,0,,,,,,,,,,,SOLIDS & STRIPES NO. 5476137 HEATHER BEIGE,5148,1,1003669
300193793,סוליד אנד סטריפס מס' 3793137 MINERAL BLUE CHINE,5.0,מטר,110.0,128.7,0.0,"ש""ח",2024-05-22T00:00:00Z,Y,0.0,0,0.0,0,0,0.0,110.0,550.0,643.5,550.0,0.0,0.0,"ש""ח",ידני,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,300193793,,,,0,5.0,0.0,5.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,300193793,,,0,,,0,0,,,0,,,,,,,,,,,SOLIDS & STRIPES NO. 3793137 MINERAL BLUE,5149,2,1003669
25004017,בד MONSOON  מותג רובלי צבע ABSINTHE רוחב 135,8.0,מטר,769.24,900.01,0.0,"ש""ח",2024-05-22T00:00:00Z,,8.0,0,0.0,0,0,0.0,769.24,6153.92,7200.09,6153.92,0.0,6153.92,"ש""ח",ידני,עלות תמחירית,0,,,0.0,0.0,,Y,0.0,0.0,25004017,,,,0,8.0,8.0,8.0,מטר,,,,,,,2024-05-22T00:00:00Z,,,,,,1.0,,,,,Y,,,,0.0,,,0.0,,,,25004017,,,0,,,0,0,,,0,,,,,,,,,,,MONSOON Color ABSINTHE Width 135,5147,1,1003668
