קוד פריוריטי,הזמנה חדשה,קוד פריט,קוד פריט,תיאור פריט,מלאי נטו,יתרה פריוריטי,הזמנות,5,6,7,8,9,10,11,12,1,2,3,4,524,624,AVG,MAX,בקשות רכש,הז רכש,"סה""כ",יספיק ל,יספיק ל
0,,2011200000,2011200000,בד פרוכת כותנה שחור,-38,0,38,,,,,,,,,,0,0,23,194,0,72.3,194.0,0,1087,1087,14.5,5.4
0,,תפירה +מילוי נוצות,תפירה +מילוי נוצות,(blank),-38,0,38,,,,,,,,,,0,0,23,194,0,72.3,194.0,0,1087,1087,14.5,5.4
2500602,,20150002,20150002,בד CRUISE קטיפה מס 02 - * ייבוא אישי -מותג דולצ'ה ויטה,0,0,0,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0,#DIV/0!,#DIV/0!
2500603,,20150003,20150003,בד CRUISE קטיפה מס 03 -* ייבוא אישי - מותג דולצ'ה ויטה,0,0,0,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0,#DIV/0!,#DIV/0!
2500604,,20150004,20150004,בד CRUISE קטיפה מס 04 -* ייבוא אישי - מותג דולצ'ה ויטה,0,0,0,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0,#DIV/0!,#DIV/0!
2500606,,20150006,20150006,בד CRUISE קטיפה מס 06 -* ייבוא אישי - מותג דולצ'ה ויטה,0,0,0,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0,#DIV/0!,#DIV/0!
2500609,,20150009,20150009,בד CRUISE קטיפה מס 09 -* ייבוא אישי - מותג דולצ'ה ויטה,0,0,0,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0,#DIV/0!,#DIV/0!
2500610,,20150010,20150010,בד CRUISE קטיפה מס 10 -* ייבוא אישי - מותג דולצ'ה ויטה,0,0,0,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0,#DIV/0!,#DIV/0!
2500611,,20150011,20150011,בד CRUISE קטיפה מס 11 -* ייבוא אישי - מותג דולצ'ה ויטה,0,0,0,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0,#DIV/0!,#DIV/0!
2500612,,20150012,20150012,בד CRUISE קטיפה מס 12 -* ייבוא אישי - מותג דולצ'ה ויטה,0,0,0,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0,#DIV/0!,#DIV/0!
2500613,,20150013,20150013,בד CRUISE קטיפה מס 13 -* ייבוא אישי - מותג דולצ'ה ויטה,0,0,0,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0,#DIV/0!,#DIV/0!
2500614,,20150014,20150014,בד CRUISE קטיפה מס 14 -* ייבוא אישי - מותג דולצ'ה ויטה,0,0,0,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0,#DIV/0!,#DIV/0!
2500615,,20150015,20150015,בד CRUISE קטיפה מס 15 -* ייבוא אישי - מותג דולצ'ה ויטה,0,0,0,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0,#DIV/0!,#DIV/0!
2500617,,20150017,20150017,בד CRUISE קטיפה מס 17 -* ייבוא אישי - מותג דולצ'ה ויטה,0,0,0,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0,#DIV/0!,#DIV/0!
2500618,,20150018,20150018,בד CRUISE קטיפה מס 18 -* ייבוא אישי - מותג דולצ'ה ויטה,0,0,0,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0,0,#DIV/0!,#DIV/0!
