,order_id,supply_id,supply_name,date,supply_order,status,total_price,discount_perc,coin,total_price_ILS,details
0,PO24000001,3100462,BRIGHTEX,2024-04-03,102193,שוחרר,2789.7,0,USD,10313.52,"25   558 ק""ג"
1,PO24000002,3100407,BAIDELI,2024-04-03,102194,שוחרר,4711.6,0,USD,17418.79,"40   1580 ק""ג"
2,PO24000003,3100462,BRIGHTEX,2024-04-03,102215,שוחרר,11341.5,0,USD,41929.53,"102   2242 ק""ח   12 CBM"
3,PO24000004,3100376,SYMPHONY GLOBAL TEXTIL USD,2024-04-03,222    5126.245,שוחרר,32694.9,0,USD,120873.05,102218
4,PO24000005,3100406,SIC EUR,2024-04-03,9999 AIR,שוחרר,2932.05,0,EUR,11645.22,"508 ק""ג"
5,PO24000006,3100406,SIC EUR,2024-04-03,102221,שוחרר,9055.08,0,EUR,35964.06,"1568.1 ק""ג"
6,PO24000007,3100454,BRU TEXTILES NV,2024-04-03,"565.860 ק""ג",שוחרר,7055.2,0,EUR,28095.39,102222
7,PO24000009,3100432,SIMAK CHERRY LTD,2024-04-04,102223,שוחרר,4251.28,0,EUR,17105.69,"21   625 ק""ג"
8,PO24000010,3100030,HAINING ZHEJIANG GOOD TIME,2024-04-04,"17  464 ק""ג",שוחרר,2942.02,0,USD,10979.62,102225
9,PO24000011,3100451,GULESER DIS TICARET A.S.,2024-04-04,102229,שוחרר,3560.71,0,USD,13288.57,"7  273.27 ק""ג"
10,PO24000012,3100046,OTE,2024-04-04,"426   11642 ק""ח",שוחרר,75767.08,0,USD,282762.74,102227
11,PO24000014,3100407,BAIDELI,2024-04-09,"7110 ק""ג  11.11",שוחרר,20869.2,0,USD,77466.47,102232
12,PO24000015,310480,"ZHEJIANG HEXIN HOLDING GROUP CO.,",2024-04-14,102153,שוחרר,10599.79,0,USD,39823.41,"1654.40 ק""ג"
13,PO24000016,3100435,POLETTO SRL UNIPERSONALE,2024-04-16,יבוא אישי,שוחרר,995.5,0,EUR,3943.97,פדקס
